fic,costat,datafmt,indfmt,consol,gvkey,datadate,sic,at,capx,ebit,revt,teq
ROU,A,HIST_STD,INDL,C,289385,2024-12-31,3357,193.1220,38.4470,21.8310,189.6810,168.7080
ROU,A,HIST_STD,INDL,C,289904,2018-12-31,2631,423.1970,47.6080,27.9010,355.4150,202.5140
ROU,A,HIST_STD,INDL,C,289904,2019-12-31,2631,470.7530,34.5610,30.6040,362.0010,224.8970
ROU,A,HIST_STD,INDL,C,289904,2020-12-31,2631,463.7610,39.3430,22.2910,349.6570,227.7780
ROU,A,HIST_STD,INDL,C,289904,2021-12-31,2631,534.4920,47.3920,9.0150,453.8890,240.5060
ROU,A,HIST_STD,INDL,C,289904,2022-12-31,2631,688.9990,87.9420,36.2450,614.1570,315.3720
ROU,A,HIST_STD,INDL,C,289904,2023-12-31,2631,775.0120,144.4120,16.5290,500.2990,357.5430
ROU,A,HIST_STD,INDL,C,289904,2024-12-31,2631,866.5010,134.0020,-10.1880,486.7950,371.3180
ROU,I,HIST_STD,INDL,C,291977,2023-12-31,3250,568.1700,103.3990,48.3090,261.2060,519.2680
ROU,A,HIST_STD,INDL,C,291979,2018-12-31,7011,129.2250,,9.4880,59.9940,100.3040
ROU,A,HIST_STD,INDL,C,291979,2019-12-31,7011,130.0280,,10.0940,64.0490,109.5650
ROU,A,HIST_STD,INDL,C,291979,2020-12-31,7011,125.0940,0.0150,-3.8100,12.7810,106.0920
ROU,A,HIST_STD,INDL,C,291979,2021-12-31,7011,118.1000,0.0550,4.3790,18.8090,110.5460
ROU,A,HIST_STD,INDL,C,291979,2022-12-31,7011,122.7970,0.0980,1.0780,26.8950,113.4430
ROU,A,HIST_STD,INDL,C,291979,2023-12-31,7011,126.0530,,2.3700,28.8620,117.6340
ROU,A,HIST_STD,INDL,C,291979,2024-12-31,7011,131.5460,,3.5170,39.1980,121.1740
ROU,A,HIST_STD,INDL,C,291980,2018-12-31,4610,751.1280,87.5170,66.1750,385.1400,661.5520
ROU,A,HIST_STD,INDL,C,291980,2019-12-31,4610,767.0670,84.1490,65.5160,407.8220,653.8100
ROU,A,HIST_STD,INDL,C,291980,2020-12-31,4610,759.9470,102.6030,115.3290,406.9280,657.0110
ROU,A,HIST_STD,INDL,C,291980,2021-12-31,4610,771.4220,63.4170,54.6210,412.7870,667.9090
ROU,A,HIST_STD,INDL,C,291980,2022-12-31,4610,807.5490,172.1380,61.2800,472.2330,684.0960
ROU,A,HIST_STD,INDL,C,291980,2023-12-31,4610,846.8540,104.2050,65.7920,485.1140,730.2950
ROU,A,HIST_STD,INDL,C,291980,2024-12-31,4610,853.5520,85.4030,44.2150,533.6180,730.6930
ROU,A,HIST_STD,INDL,C,291981,2018-12-31,3714,182.6550,,6.9630,170.3930,100.2030
ROU,A,HIST_STD,INDL,C,291981,2019-12-31,3714,180.3670,,8.5040,155.2010,103.0890
ROU,A,HIST_STD,INDL,C,291981,2020-12-31,3714,199.7170,,-1.2560,139.3410,98.6100
ROU,A,HIST_STD,INDL,C,291981,2021-12-31,3714,285.2940,,7.4860,180.4630,154.8740
ROU,A,HIST_STD,INDL,C,291981,2022-12-31,3714,288.7230,,3.9450,213.4370,155.1040
ROU,A,HIST_STD,INDL,C,291981,2023-12-31,3714,299.8620,,-10.6650,188.5160,147.2080
ROU,A,HIST_STD,INDL,C,291981,2024-12-31,3714,308.2330,,-4.2720,208.7830,160.6630
ROU,A,HIST_STD,FS,C,291982,2018-12-31,6500,69.7550,,-8.5220,3.9230,7.4580
ROU,A,HIST_STD,FS,C,291982,2019-12-31,6500,61.3060,,-2.7520,26.2190,4.8450
ROU,A,HIST_STD,FS,C,291982,2020-12-31,6500,86.7020,,3.1440,17.0510,53.0100
ROU,A,HIST_STD,FS,C,291982,2021-12-31,6500,63.9510,,1.1400,35.6300,53.6300
ROU,A,HIST_STD,FS,C,291982,2022-12-31,6500,78.6090,,6.4880,36.5630,71.2490
ROU,A,HIST_STD,FS,C,291994,2019-12-31,6512,405.4330,,7.4420,60.0450,332.6290
ROU,A,HIST_STD,FS,C,291994,2020-12-31,6512,394.1230,,8.4410,57.2460,353.3240
ROU,A,HIST_STD,FS,C,291994,2021-12-31,6512,251.8280,,-31.2420,20.7220,212.3540
ROU,A,HIST_STD,FS,C,291994,2022-12-31,6512,290.3100,,35.7340,63.5870,247.9800
ROU,A,HIST_STD,FS,C,291994,2023-12-31,6512,311.6250,,3.1170,67.2820,246.9630
ROU,A,HIST_STD,FS,C,291994,2024-12-31,6512,350.1710,,5.2750,64.4790,249.0290
ROU,A,HIST_STD,INDL,C,296655,2018-12-31,4991,8866.2640,136.9760,531.3260,2128.6610,7178.9900
ROU,A,HIST_STD,INDL,C,212973,2018-12-31,3564,165.4080,,1.2220,145.0870,71.9380
ROU,A,HIST_STD,INDL,C,212973,2019-12-31,3564,154.9320,,2.0330,137.1920,72.0950
ROU,A,HIST_STD,INDL,C,212973,2020-12-31,3564,142.3960,,-0.0430,109.4650,72.9270
ROU,A,HIST_STD,INDL,C,212973,2021-12-31,3564,156.3050,,3.1610,130.5640,75.4410
ROU,A,HIST_STD,INDL,C,212973,2022-12-31,3564,167.9180,,4.5720,157.5360,78.2450
ROU,A,HIST_STD,INDL,C,212973,2023-12-31,3564,167.2840,,11.6880,171.9770,81.7910
ROU,A,HIST_STD,INDL,C,212973,2024-12-31,3564,157.8100,,10.5790,157.2700,81.1370
ROU,A,HIST_STD,INDL,C,233435,2018-12-31,4911,18615.4800,167.7260,2212.9100,4252.0150,16559.5240
ROU,A,HIST_STD,INDL,C,233435,2019-12-31,4911,17292.4290,136.1620,1940.9990,4142.4470,15095.3680
ROU,A,HIST_STD,INDL,C,233435,2020-12-31,4911,16716.4470,166.7330,1876.8520,3841.4430,14518.6430
ROU,A,HIST_STD,INDL,C,233435,2021-12-31,4911,22862.3010,184.9580,3816.0760,6489.2970,19231.6640
ROU,A,HIST_STD,INDL,C,233435,2022-12-31,4911,25432.2330,169.0050,5193.7360,9451.9550,21586.8500
ROU,A,HIST_STD,INDL,C,233435,2023-12-31,4911,29109.1640,189.4080,7441.2080,12160.1840,25021.2340
ROU,A,HIST_STD,INDL,C,233435,2024-12-31,4911,26977.2270,284.0860,4441.9970,9122.7090,22896.4670
